Temperatura,Humedad,VelocidadViento,Presion,HoraDia,DiaSemana,PM25
17.2,21.9,1.65,778.6,3,0,29.9
27.6,24.6,4.55,780.2,19,1,32.1
17.9,52.5,1.12,769.1,9,0,34.4
14.6,83.6,4.91,766.9,22,3,37.6
20.7,57.7,1.31,769.6,8,3,52.8
12.8,54.8,0.99,772.7,1,4,39.4
9.5,27.4,1.51,777.1,13,1,42.1
10.6,66.0,3.59,770.0,15,1,43.8
10.6,77.5,0.34,775.0,0,0,50.7
11.0,46.6,0.55,783.1,1,3,52.2
10.8,74.3,7.56,773.1,6,0,16.6
20.8,87.5,0.48,772.5,9,3,62.2
11.6,34.3,2.1,757.8,21,0,37.4
14.9,56.6,2.16,749.0,19,3,40.0
25.9,40.1,1.68,773.1,0,0,20.5
17.5,75.5,2.59,769.2,12,6,35.8
21.4,60.4,0.65,765.9,0,3,45.5
11.4,64.4,2.01,771.9,4,5,42.8
11.8,75.9,1.16,769.5,15,0,51.3
8.8,47.7,2.71,779.0,14,1,30.1
11.4,84.1,0.38,770.7,16,4,58.1
13.6,57.3,2.12,764.0,22,5,41.8
11.5,31.1,0.51,777.9,15,5,34.1
9.8,68.7,0.82,768.3,12,0,45.6
10.4,75.5,0.62,774.2,10,4,48.4
17.2,42.2,0.5,766.2,16,1,50.5
12.1,80.0,4.37,764.8,16,5,19.2
15.3,83.4,0.84,770.7,1,1,48.2
18.1,39.4,6.55,770.1,12,3,12.2
21.8,88.8,8.76,773.8,13,6,5.0
8.8,29.8,2.12,767.9,10,4,30.1
24.0,34.1,0.39,755.3,9,6,42.5
20.6,32.9,1.17,766.5,2,2,26.8
9.6,82.6,4.0,776.4,16,3,36.8
25.5,65.8,1.14,767.6,14,4,48.7
26.4,30.6,0.23,768.0,8,0,52.3
9.2,50.8,2.03,777.9,9,6,57.2
13.5,63.1,4.66,764.3,7,0,33.7
24.1,25.8,3.97,757.7,20,1,21.3
23.0,81.8,0.48,768.7,12,5,33.7
11.7,76.3,2.79,766.1,17,6,36.7
12.2,55.4,0.62,762.3,4,2,59.6
15.4,87.7,0.62,768.6,5,0,39.8
17.7,49.2,5.18,773.9,16,4,27.9
20.4,88.9,0.72,769.9,10,6,43.2
15.4,66.8,0.76,772.5,19,6,46.5
17.3,64.4,0.0,784.5,15,5,33.8
22.9,31.6,5.11,767.3,8,5,32.9
8.7,81.7,3.93,772.2,1,4,34.2
13.0,49.9,2.47,765.9,4,5,36.5
22.3,31.4,3.47,763.2,0,0,25.3
25.9,20.9,0.41,765.3,3,4,22.5
18.2,59.2,1.53,766.2,3,4,44.3
18.6,56.9,1.08,772.9,21,1,32.2
10.1,70.4,0.25,788.8,2,2,36.7
16.9,82.3,1.66,764.3,8,6,45.2
18.7,25.6,6.34,766.7,21,1,12.8
12.8,71.2,0.1,769.5,22,2,57.4
13.4,33.1,0.86,773.2,11,4,40.4
15.5,80.1,0.58,772.1,9,6,60.7
8.4,77.3,0.68,780.3,1,5,38.9
14.4,57.9,5.98,750.6,10,2,29.5
12.2,69.7,1.58,750.9,9,4,55.5
14.5,42.0,1.57,766.0,21,4,45.2
10.4,53.0,3.57,778.8,5,1,31.9
25.8,77.5,0.42,757.5,17,1,44.8
19.9,52.1,1.67,745.9,1,5,27.6
21.6,45.0,1.41,774.6,1,3,25.4
23.8,54.6,2.27,771.9,9,0,44.7
18.0,78.0,12.0,761.3,15,3,5.0
9.7,43.5,3.67,762.1,11,3,35.8
18.7,32.2,1.27,762.2,0,6,29.7
19.7,69.8,4.39,770.9,20,6,38.9
22.9,77.8,0.47,765.0,7,5,51.2
16.6,27.0,0.08,774.0,15,6,31.7
10.6,36.8,0.57,747.2,17,2,44.8
13.7,29.9,1.04,763.1,12,5,36.7
15.3,44.4,1.79,761.0,14,5,19.4
20.9,51.5,2.39,767.9,20,4,36.4
19.4,72.4,6.04,765.7,11,4,20.3
15.1,65.6,1.78,776.4,7,4,54.1
27.7,63.5,1.74,755.1,9,0,49.8
20.1,44.7,0.13,770.4,13,2,41.4
12.7,78.9,0.09,774.5,4,2,34.5
10.0,53.0,2.0,784.9,17,4,33.3
11.1,88.5,1.44,766.1,18,3,51.4
12.9,64.4,4.57,772.6,14,0,25.2
11.2,28.8,0.44,755.6,5,3,42.3
11.7,67.3,0.06,750.9,10,1,50.7
13.7,42.8,1.49,776.8,20,2,54.7
11.5,68.0,0.68,770.0,10,2,38.4
25.9,24.9,0.13,779.4,19,3,48.1
9.6,32.2,3.22,759.0,19,0,43.9
18.5,79.9,0.3,774.2,20,2,58.5
16.2,35.9,2.34,785.0,17,3,42.2
27.6,78.6,0.82,773.4,17,5,46.5
10.2,39.5,0.48,772.2,9,5,45.5
16.0,65.0,1.19,770.1,1,6,29.0
27.4,68.6,4.04,757.4,8,0,28.5
25.3,55.9,1.24,780.8,13,3,34.8
24.3,41.4,3.47,765.1,18,6,24.0
13.2,34.9,0.34,774.0,9,5,55.2
11.4,22.3,3.7,757.5,22,0,25.4
21.4,41.3,0.68,760.6,3,6,26.1
26.6,65.7,2.83,781.5,5,4,27.8
19.1,85.7,2.09,767.2,13,0,51.2
19.4,81.0,6.62,781.6,3,1,20.9
13.6,73.6,1.22,769.4,14,4,37.9
23.4,75.2,0.17,755.3,15,6,39.7
11.7,66.5,0.05,777.1,6,3,66.1
14.5,38.2,4.38,765.3,16,4,23.9
16.5,83.5,1.86,775.6,18,4,53.4
18.2,67.0,3.73,770.2,18,6,40.7
12.8,59.2,0.67,757.7,16,3,33.0
10.3,27.8,1.06,771.3,5,3,36.8
20.2,51.3,0.08,787.6,10,5,51.7
13.8,52.2,8.14,773.9,15,1,8.2
19.6,80.5,2.76,769.5,7,3,50.7
11.1,58.3,6.77,778.6,10,2,22.3
17.6,46.6,0.77,771.7,6,2,44.1
18.7,88.4,2.36,771.7,23,1,36.0
9.0,27.8,2.84,761.3,21,0,39.0
14.7,49.6,0.96,771.9,18,6,44.4
10.7,22.9,4.71,778.3,9,0,35.5
9.3,71.8,7.35,763.3,8,2,48.7
27.8,84.3,5.4,781.4,3,3,34.3
14.4,39.6,3.36,769.3,22,1,18.9
24.2,80.1,0.81,762.9,14,0,39.1
13.1,40.5,0.83,778.0,12,0,55.2
21.6,83.8,8.27,767.7,1,6,5.0
23.2,72.8,0.03,776.1,1,4,57.1
19.9,76.3,3.15,767.7,15,2,31.3
17.4,21.3,3.06,769.5,8,3,39.7
16.2,87.4,2.44,773.9,12,1,45.3
15.0,70.9,11.54,772.3,2,0,5.0
26.6,41.3,0.93,754.0,8,6,47.1
24.6,78.1,1.04,761.0,12,4,50.6
27.3,39.7,0.21,777.4,20,2,50.7
10.5,81.1,1.46,768.9,21,2,49.5
22.6,27.9,0.76,765.8,1,6,39.6
26.8,69.3,1.05,759.1,7,1,56.0
11.6,57.8,4.5,761.4,8,0,37.8
9.3,26.8,6.85,753.8,15,1,26.0
22.8,36.9,0.51,769.2,1,6,35.9
19.5,20.9,1.17,765.2,5,6,29.8
24.8,52.8,6.6,762.3,21,1,7.1
10.8,41.1,0.16,769.5,7,5,42.1
23.9,61.9,0.24,772.9,4,4,52.9
12.0,40.8,0.44,786.7,8,2,67.4
11.3,41.0,2.26,757.9,0,5,29.0
11.3,72.0,0.41,779.3,8,3,51.0
24.3,23.4,8.61,777.8,9,2,8.7
21.3,83.2,1.48,763.8,22,2,32.7
18.5,79.7,1.74,771.6,3,4,30.2
15.2,66.7,0.71,766.3,2,3,55.0
25.5,61.5,1.59,771.5,9,0,60.7
15.8,82.5,2.71,782.1,14,3,31.2
24.3,33.0,3.48,774.8,10,0,32.0
16.8,25.5,3.5,774.1,13,3,17.9
15.5,36.8,2.16,766.6,5,1,35.7
17.3,75.6,5.87,758.1,11,6,30.7
14.0,22.4,4.25,768.3,12,3,30.0
23.0,60.8,3.54,779.7,16,5,31.1
18.1,89.7,0.14,757.8,15,5,41.8
12.6,79.9,0.02,761.6,2,4,55.7
26.0,56.5,0.6,771.0,1,6,37.6
15.7,24.5,2.72,762.1,10,6,33.2
18.9,78.2,1.32,763.7,8,0,55.2
26.1,61.9,1.29,766.6,2,2,38.5
20.5,28.0,5.4,759.1,17,4,23.2
10.3,26.6,5.65,762.2,19,5,20.1
26.8,83.7,6.0,775.6,14,5,11.7
20.6,66.8,0.94,759.5,13,0,34.2
14.7,78.1,2.94,757.2,1,5,24.7
10.8,81.5,0.79,765.0,16,5,42.1
23.9,60.0,0.53,775.9,21,0,43.4
20.4,56.2,0.51,768.4,7,5,44.6
18.7,50.1,1.05,766.3,9,2,46.5
25.9,42.2,1.41,770.4,17,1,40.2
23.8,50.4,4.44,756.0,18,4,39.1
11.0,74.2,0.32,774.0,7,2,59.8
14.2,62.1,3.32,773.1,7,2,44.6
13.0,82.5,1.9,766.7,2,1,35.6
22.9,51.0,0.85,778.0,2,6,31.9
8.7,62.5,1.7,761.0,11,4,50.4
19.4,64.2,0.89,779.0,21,2,52.5
23.2,61.4,2.27,771.2,16,5,36.7
25.5,69.2,1.42,767.3,3,1,43.1
14.8,36.6,0.45,769.8,16,6,39.5
24.4,55.9,0.31,769.1,13,4,42.8
10.2,27.3,1.98,779.8,18,3,43.9
24.9,46.9,5.82,761.4,8,0,28.8
10.5,54.1,1.05,763.9,20,5,44.8
15.9,65.7,3.3,778.3,11,1,37.3
23.9,86.5,2.69,765.2,4,0,40.1
11.0,62.0,6.7,777.2,10,6,23.3
12.6,72.1,4.3,783.6,19,6,48.5
22.4,55.4,2.09,766.8,2,3,26.2
22.4,64.4,2.68,775.5,20,2,45.9
20.8,25.0,5.72,760.8,14,2,14.5
21.9,37.8,1.28,776.0,13,4,35.0
18.9,45.3,0.99,771.6,10,1,40.5
13.0,53.1,0.03,773.8,19,1,60.6
14.9,23.2,4.38,764.8,7,6,33.2
11.6,29.8,4.04,756.7,3,4,29.8
26.2,39.4,0.28,774.0,11,0,41.9
19.7,88.0,2.15,753.5,7,2,49.0
16.0,43.2,1.56,767.5,5,2,38.7
17.2,53.7,0.32,777.5,14,6,40.2
26.9,33.7,9.85,771.5,11,1,5.0
11.1,62.8,0.6,785.6,15,6,45.8
19.7,39.6,0.17,778.2,15,1,55.4
18.1,34.5,2.26,764.8,20,4,42.2
20.2,56.2,3.36,770.2,19,3,37.7
8.4,20.4,0.08,769.6,19,0,49.6
25.4,20.5,2.69,757.3,3,5,23.9
26.6,35.3,1.9,762.5,10,3,35.9
19.3,22.6,0.27,765.5,12,3,42.9
21.9,27.6,0.47,753.7,8,1,49.2
26.4,43.7,2.1,770.4,3,1,41.2
22.1,76.2,0.88,768.0,11,1,55.0
11.1,60.0,6.96,756.6,8,3,30.6
19.5,55.9,4.27,773.2,12,6,21.6
20.1,40.5,10.27,775.7,15,0,5.0
16.5,85.2,0.75,771.8,5,6,43.6
22.7,47.8,8.74,767.4,9,1,12.7
26.7,26.1,1.41,774.7,12,2,25.4
26.5,63.2,1.07,775.4,6,6,48.1
17.0,28.0,0.13,772.5,18,0,54.1
10.3,44.2,0.14,763.4,23,2,50.2
27.7,55.5,2.94,772.2,18,0,36.8
24.8,81.2,1.53,779.6,16,1,53.1
10.5,54.5,0.64,765.2,12,6,38.5
26.4,69.2,2.38,786.8,12,5,35.4
25.4,89.5,0.73,765.8,20,4,43.2
18.4,29.2,2.15,770.3,1,1,29.3
19.8,39.2,1.11,764.6,9,3,47.4
16.0,47.6,4.34,771.8,21,5,25.2
9.1,49.5,4.3,756.1,12,3,20.3
14.7,48.8,1.62,765.6,8,0,55.8
24.1,83.5,1.08,761.3,0,3,47.1
8.1,70.0,1.13,771.1,13,5,34.8
14.7,62.6,4.1,778.0,15,5,18.2
16.0,41.7,0.99,775.2,19,1,43.5
18.7,77.7,0.59,751.0,14,2,46.3
26.4,86.9,0.22,786.3,0,1,41.9
14.9,77.5,1.57,772.4,16,0,42.8
14.9,20.1,1.65,763.8,23,3,26.3
22.8,64.5,4.6,771.3,12,2,37.9
17.0,23.6,0.63,771.4,14,6,32.0
12.5,38.0,1.2,764.7,15,4,44.9
17.0,24.2,4.13,771.6,15,5,21.1
10.8,62.3,4.34,765.1,1,2,28.7
11.5,68.1,1.21,766.8,16,6,38.8
18.0,28.0,1.54,764.5,10,2,36.1
16.4,46.9,0.9,758.5,7,1,48.3
26.3,51.9,6.74,771.2,19,6,12.3
15.2,45.8,0.32,774.7,2,4,35.0
19.6,28.5,6.79,774.1,11,5,22.7
20.6,49.3,2.88,776.6,19,0,42.1
8.3,72.6,1.9,772.6,15,0,50.8
21.3,25.0,0.08,765.7,13,2,32.7
11.6,25.6,1.61,776.7,15,6,22.8
27.2,44.8,1.31,759.1,20,2,35.8
11.0,85.9,0.44,762.8,16,3,47.6
16.3,66.8,2.67,762.3,10,4,42.4
9.7,67.5,8.86,778.6,16,5,8.9
27.9,45.3,2.06,777.5,18,2,34.8
18.0,61.6,3.14,773.9,21,3,37.5
19.9,20.7,0.18,778.6,0,6,33.3
9.3,64.5,1.35,763.0,11,4,49.1
23.0,83.9,0.31,772.8,14,5,49.0
12.2,62.9,2.37,769.0,17,0,39.6
26.0,81.2,6.97,776.8,22,3,26.8
12.1,70.7,2.71,769.1,13,6,32.1
11.8,28.4,0.2,766.9,0,4,31.0
8.7,83.2,1.09,774.3,12,3,57.8
17.4,24.7,2.0,777.0,14,2,45.0
19.3,57.4,1.29,764.7,6,1,49.2
9.3,29.9,4.48,769.5,14,0,24.9
23.5,20.8,4.21,761.5,19,2,27.6
17.1,49.5,2.37,750.0,9,2,42.2
18.5,40.7,1.17,771.6,13,6,38.9
16.8,54.0,0.74,774.9,5,6,39.0
16.0,60.4,0.28,772.1,13,4,53.9
19.2,23.1,1.1,754.4,23,6,28.8
11.1,28.6,1.33,767.2,21,3,38.5
11.6,59.1,2.82,752.3,11,0,33.4
25.2,44.0,2.68,781.0,10,2,32.5
26.9,71.0,0.18,761.3,19,4,54.9
15.5,65.7,1.26,780.0,21,0,38.4
13.4,79.2,0.5,777.6,23,6,37.4
20.9,68.5,0.43,762.8,18,6,53.8
16.2,50.1,4.39,760.9,1,3,19.3
8.5,67.1,0.11,772.8,21,6,52.9
11.1,39.3,1.36,763.2,19,2,34.8
22.3,41.4,0.46,770.8,0,5,41.8
21.2,75.2,5.29,766.1,7,2,29.1
8.5,51.2,2.04,755.8,13,2,31.7
12.4,75.9,0.66,752.2,8,6,58.6
12.6,77.6,1.75,771.8,1,0,43.0
21.4,80.0,3.29,765.5,22,6,35.2
8.4,84.2,7.93,765.6,4,0,11.9
10.1,50.2,0.62,775.6,22,0,43.2
24.0,42.3,5.43,779.4,7,0,27.3
11.6,60.8,6.81,767.8,15,4,12.7
21.1,46.0,6.2,767.3,21,1,24.7
12.8,62.1,2.52,774.0,15,6,37.3
10.0,69.4,2.48,759.1,12,4,36.4
12.9,68.2,1.29,771.8,19,2,60.8
22.4,46.2,3.49,774.4,14,4,22.3
25.1,31.7,1.89,775.4,0,3,39.3
24.6,50.1,2.83,754.5,21,5,32.0
15.9,30.0,1.4,763.9,2,0,26.9
21.4,82.3,3.29,763.0,5,6,43.1
12.1,44.2,4.35,770.8,21,3,28.5
13.9,30.8,0.4,773.8,13,6,42.0
25.9,21.8,4.47,782.0,3,5,14.7
8.3,65.2,1.94,766.0,17,3,47.1
9.7,64.6,4.66,766.0,14,6,29.0
12.2,43.8,1.41,779.2,8,2,58.2
8.5,25.0,1.19,772.4,17,0,40.0
11.6,48.7,6.16,780.1,2,3,23.3
19.7,41.8,0.72,772.3,9,2,53.4
16.4,67.4,4.65,760.7,16,0,30.0
25.9,62.4,1.65,759.3,6,1,41.3
24.3,45.5,1.8,757.6,14,2,33.5
14.8,35.3,0.92,775.3,0,4,49.6
13.2,89.2,2.13,779.5,10,6,42.7
15.6,51.8,0.98,784.8,16,0,49.8
19.8,68.2,0.1,776.7,4,3,41.9
13.4,29.8,0.79,779.3,6,5,35.6
20.5,54.0,0.02,765.4,18,3,70.2
16.2,21.9,9.58,760.7,23,4,5.0
19.0,55.4,8.43,776.8,14,6,8.2
16.7,87.5,1.26,773.3,2,4,47.3
13.9,46.9,3.26,770.9,14,3,38.9
27.0,22.7,1.06,773.1,4,6,30.1
23.3,22.2,2.78,772.6,22,5,27.9
10.8,47.2,4.09,780.3,11,0,25.4
25.4,31.2,7.33,780.4,19,6,19.6
17.7,21.6,1.28,774.4,4,2,33.0
25.9,72.9,3.82,776.8,2,6,27.7
24.0,52.1,0.77,774.1,8,4,42.8
16.5,40.2,11.6,766.3,8,4,13.7
8.4,83.0,0.07,776.1,6,4,44.6
13.4,28.1,2.31,758.8,1,5,24.1
18.8,86.9,2.69,778.4,22,6,24.4
20.7,42.0,2.91,760.4,22,6,29.4
13.2,82.2,0.32,772.3,20,1,56.5
10.8,62.2,6.97,763.2,15,5,9.3
24.7,77.9,0.5,774.4,8,0,66.5
27.7,88.9,2.44,769.7,12,0,31.3
18.5,40.2,0.63,757.2,18,0,28.0
11.4,87.3,0.92,773.4,19,0,59.6
13.4,47.3,1.98,765.4,16,0,26.9
8.4,47.0,1.35,777.0,5,3,38.0
26.3,43.8,0.44,770.0,3,4,34.5
10.4,57.9,0.47,773.2,0,5,30.7
19.5,30.8,1.35,762.3,17,3,35.5
13.5,58.8,3.54,765.3,18,5,25.8
19.1,57.9,5.71,766.3,8,1,36.3
21.0,73.3,0.22,776.9,12,6,33.2
24.6,78.4,1.25,783.4,7,2,53.3
12.1,50.8,0.26,763.6,22,4,52.2
8.2,41.2,0.04,778.6,12,1,50.1
10.7,38.2,2.71,752.6,14,3,30.9
26.0,33.6,2.31,760.4,10,2,29.7
25.5,24.0,0.44,762.3,11,6,33.5
19.9,44.0,0.67,759.2,13,1,33.9
20.0,38.9,0.06,757.3,3,6,35.8
21.3,87.6,4.5,773.3,0,6,14.0
11.5,59.0,9.19,768.3,23,5,9.5
26.3,44.3,0.36,773.0,3,2,38.3
16.4,60.6,0.66,775.5,18,5,58.9
15.7,29.7,5.07,772.1,8,6,37.8
18.4,51.1,6.52,775.3,9,1,32.8
8.9,63.8,1.36,769.4,3,6,36.3
11.3,54.2,0.13,760.5,19,3,49.8
22.8,48.1,0.1,778.5,8,6,56.5
9.7,89.6,2.13,765.3,12,5,36.8
20.1,81.6,1.25,762.5,11,2,51.6
12.9,63.6,0.07,768.6,10,1,55.8
15.8,59.9,2.19,762.7,11,5,36.3
13.8,63.4,0.03,766.7,17,6,49.2
15.1,34.1,3.87,772.8,11,3,23.5
22.4,47.7,0.91,772.8,15,4,31.9
13.9,22.8,0.1,762.8,4,3,33.6
19.3,53.3,2.22,766.1,19,6,44.8
17.5,58.0,1.27,778.6,11,3,36.9
21.3,35.9,9.11,774.0,20,4,6.7
26.7,87.5,1.96,786.6,10,3,49.4
22.7,83.7,0.8,779.4,8,4,56.9
12.3,70.6,3.09,779.2,17,6,33.2
8.6,57.3,0.79,758.9,2,4,39.9
13.2,80.9,5.86,776.1,19,5,16.5
19.9,29.1,1.17,769.6,16,5,25.5
9.0,75.3,2.0,765.6,13,4,48.1
17.9,28.7,0.13,771.3,0,1,35.6
19.9,75.6,1.39,777.6,16,2,31.4
14.7,39.3,4.46,774.0,7,1,30.9
23.4,81.4,4.1,763.0,4,4,32.1
10.1,86.1,0.64,775.9,4,2,51.1
9.5,30.4,0.64,764.9,8,5,47.5
22.6,52.4,4.25,771.7,2,2,20.5
17.9,88.7,6.66,767.6,18,4,21.6
21.8,53.8,0.25,768.2,22,5,40.3
16.7,80.4,1.49,776.1,8,2,61.8
12.9,61.2,1.03,761.7,21,2,54.0
24.4,46.3,5.11,785.6,17,1,18.8
24.0,40.0,0.22,755.4,15,2,46.5
21.9,34.2,0.59,765.2,0,6,31.0
13.4,73.3,3.49,773.0,1,4,33.7
19.8,47.1,0.13,774.7,13,0,46.8
15.2,55.8,1.7,769.2,13,0,34.4
9.8,54.5,1.46,769.5,0,0,26.8
26.3,60.4,1.02,773.3,15,4,42.6
10.7,80.6,1.25,768.2,14,0,46.4
27.0,88.7,1.89,781.1,14,1,36.6
16.9,48.5,0.44,776.7,11,4,48.3
11.7,77.9,2.12,777.0,15,6,41.1
18.8,73.5,4.09,762.3,13,5,15.2
25.5,60.1,3.57,769.4,23,6,23.3
22.6,86.9,0.42,767.6,14,4,31.4
24.1,34.0,0.4,762.0,22,4,37.7
21.2,27.6,0.78,772.9,14,2,33.2
21.8,79.8,1.12,765.7,18,2,52.5
25.0,50.7,1.31,775.2,7,2,41.8
13.0,79.3,2.85,761.4,1,3,34.1
17.8,82.5,0.15,783.8,1,1,28.3
12.4,24.4,0.09,762.8,9,4,55.7
27.8,81.8,1.24,771.8,2,6,34.0
26.9,51.4,2.99,776.3,22,4,31.2
8.8,55.7,0.54,765.4,16,2,37.0
22.1,63.9,2.56,776.8,7,4,48.5
26.5,84.8,0.75,760.2,22,5,48.8
11.6,21.3,5.43,781.6,3,4,18.1
19.4,53.4,5.65,770.1,13,6,19.2
26.3,68.1,0.88,765.2,20,0,42.2
8.7,70.6,0.65,767.6,9,5,52.9
21.9,68.5,1.32,776.5,0,5,24.9
13.9,29.4,0.69,765.3,3,4,42.6
26.5,41.0,2.79,764.0,0,3,28.1
27.4,45.1,4.37,768.2,16,2,16.3
26.9,76.3,2.8,760.6,16,1,29.5
17.5,39.5,4.35,784.6,6,1,32.5
25.2,34.7,1.26,765.5,22,0,40.5
24.9,87.0,0.42,776.7,19,1,63.5
14.4,20.6,3.35,771.7,14,1,25.3
24.6,89.8,1.12,762.1,12,2,34.5
8.7,67.4,2.78,770.0,1,2,38.2
19.9,78.0,0.79,776.3,18,3,62.5
12.6,40.6,0.21,768.5,23,6,27.7
10.4,21.0,12.0,779.5,12,0,5.0
9.5,71.7,0.42,778.2,23,1,51.4
21.9,78.4,11.15,777.4,10,3,10.0
14.8,71.8,9.46,766.3,21,0,10.6
22.5,30.0,3.95,761.4,14,5,18.4
9.3,72.7,2.69,765.1,9,1,56.1
14.3,73.8,2.16,771.6,8,1,53.0
18.8,66.1,5.03,774.4,8,2,38.7
23.8,73.6,0.85,752.6,19,4,53.5
14.4,79.2,1.58,769.9,0,0,40.0
20.5,63.0,2.41,771.3,16,1,43.2
25.7,26.2,1.32,767.8,11,0,46.7
20.3,54.1,1.39,780.3,9,6,39.7
12.7,25.4,1.0,773.4,4,3,30.1
8.5,48.5,2.08,780.5,17,3,44.7
25.4,48.5,4.75,768.3,14,4,13.4
8.4,24.6,0.56,777.5,5,1,35.2
25.5,44.4,6.81,783.1,6,6,5.0
18.6,27.8,2.92,780.5,16,2,27.8
26.8,76.6,4.33,761.3,5,1,29.2
24.0,86.3,2.03,768.0,7,0,47.5
28.0,25.1,3.78,767.2,11,5,27.2
15.0,86.9,0.04,773.9,20,3,65.3
23.3,56.6,4.26,775.5,13,0,36.9
16.0,41.0,0.1,763.3,11,4,44.6
17.6,25.4,5.52,770.5,22,3,26.2
20.6,55.0,12.0,753.8,9,2,8.2
25.5,75.6,0.87,781.5,21,3,47.6
27.7,69.5,0.59,765.9,19,5,42.1
23.4,23.5,3.62,770.4,14,6,5.0
16.4,25.1,0.73,767.5,6,1,47.7
16.4,48.2,5.02,779.2,8,5,40.0
22.8,40.7,0.27,747.3,9,6,36.0
12.8,36.3,0.34,769.9,9,5,48.3
10.2,39.7,9.68,769.2,15,1,11.2
15.1,76.2,2.8,766.4,6,3,41.5
13.7,85.0,4.69,783.8,4,4,39.2
13.9,48.4,0.98,762.9,22,1,40.6
12.7,83.4,2.82,776.2,2,1,35.0
8.8,42.5,2.25,772.9,17,6,42.9
8.4,53.4,2.31,780.1,10,2,39.3
27.8,35.8,2.87,764.7,14,3,21.5
16.6,64.8,2.14,764.1,20,1,39.4
15.7,88.5,1.4,778.8,19,4,47.0
21.6,62.2,0.81,773.4,4,0,42.2
12.4,45.0,3.66,757.6,23,3,25.8
27.0,65.3,0.64,765.7,11,2,45.6
23.7,28.6,2.95,773.1,3,5,10.8
9.8,82.2,0.66,776.7,14,1,40.9
16.4,55.2,2.45,764.6,8,4,49.0
25.6,51.5,3.44,746.7,6,3,42.1
26.9,61.0,0.62,774.2,9,4,54.2
17.3,63.7,0.15,760.2,22,4,42.3
20.3,25.0,0.35,753.9,12,6,23.0
11.3,67.8,2.33,747.3,7,5,40.5
27.8,36.9,4.73,776.5,11,2,22.1
12.6,70.0,0.12,771.0,21,3,37.7
26.9,77.6,3.31,768.2,23,1,24.1
21.0,76.3,1.04,781.1,18,2,46.0
20.2,58.7,1.63,775.1,0,1,35.4
18.3,56.4,6.61,782.9,15,0,18.0
12.6,30.0,1.01,758.9,21,4,38.0
11.5,74.3,1.57,769.7,16,0,47.1
12.4,39.0,0.03,757.1,17,6,42.6
11.7,54.8,0.21,768.2,10,4,49.6
23.6,39.9,0.75,768.0,17,5,40.2
15.0,29.4,0.07,775.0,6,2,51.3
9.2,64.1,2.49,770.4,17,1,33.7
27.4,23.8,1.39,775.0,7,6,38.0
25.7,72.4,1.99,775.6,5,5,39.6
26.6,42.2,0.48,787.2,6,1,51.8
27.9,20.0,0.88,767.5,22,2,35.9
11.5,55.8,2.73,762.5,21,3,37.8
15.9,23.3,8.4,772.0,9,6,15.8
23.2,39.3,0.13,763.6,10,0,51.1
21.9,69.5,5.53,781.9,12,0,24.5
11.1,24.4,2.15,767.7,8,1,48.4
24.3,78.8,2.07,765.5,6,1,42.6
12.5,20.3,1.73,766.2,8,1,39.5
12.5,37.3,0.18,775.7,12,6,36.8
18.7,71.9,0.24,768.7,2,2,40.5
19.9,42.1,2.3,764.9,2,3,27.3
19.6,27.1,1.04,783.3,0,0,43.7
9.8,45.2,6.23,763.2,20,5,28.1
25.5,38.9,1.3,770.3,19,4,33.2
13.3,79.0,0.39,775.2,1,6,35.5
10.6,41.9,3.14,756.9,2,6,23.2
25.8,75.2,0.87,773.8,14,2,37.0
27.1,82.4,1.86,761.6,23,0,39.4
25.2,50.4,2.99,776.6,5,3,24.6
24.2,83.7,5.76,762.3,12,2,29.1
21.1,46.4,3.93,775.5,20,5,28.8
19.0,87.5,2.82,778.8,0,0,34.9
9.7,26.3,2.85,776.9,19,2,40.3
16.2,68.1,7.29,772.0,18,0,22.6
15.5,54.6,0.88,768.1,0,0,28.2
13.2,47.1,0.0,765.4,20,6,46.8
22.5,64.3,0.79,781.8,21,3,43.9
17.9,69.3,0.61,764.4,1,6,32.0
9.6,20.3,2.71,761.7,14,4,36.1
12.4,31.7,2.51,775.3,13,3,35.9
21.7,69.9,2.25,763.6,18,0,58.2
9.5,66.6,0.04,762.4,10,2,59.7
25.0,87.6,3.26,758.5,14,5,23.7
17.9,73.3,0.98,766.1,5,3,39.8
17.6,86.6,2.73,769.3,19,4,44.2
19.8,69.2,2.03,771.9,8,0,47.8
24.5,40.9,1.05,777.6,4,5,32.1
15.0,27.4,0.36,774.2,19,3,39.6
21.6,74.7,0.25,768.5,1,6,43.0
19.3,65.1,4.45,768.4,5,6,25.4
13.3,23.4,6.26,774.1,17,3,23.4
25.6,45.2,2.62,780.2,22,3,24.9
23.9,87.0,0.27,771.0,18,3,55.2
21.2,55.0,1.29,766.2,8,5,54.8
25.0,50.3,3.26,762.1,20,6,25.3
25.3,52.0,3.78,758.4,23,2,20.3
22.2,34.6,0.31,775.3,5,4,45.6
24.7,45.8,0.0,774.6,13,4,34.5
21.9,45.9,3.11,774.6,23,0,27.8
21.6,23.7,1.1,769.0,12,1,42.9
20.4,73.7,0.73,781.3,10,2,45.4
23.1,49.2,0.03,766.1,11,6,48.1
11.2,77.6,1.94,777.6,18,0,47.7
25.6,79.5,4.76,769.7,18,0,27.3
25.4,34.8,7.9,765.1,20,3,18.2
8.6,66.0,2.09,774.7,18,1,48.7
24.5,53.1,1.81,773.3,23,6,29.7
